,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
1,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
2,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
3,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
4,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
5,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
6,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
7,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
8,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
9,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
10,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
11,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
12,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
13,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
14,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
15,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
16,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
17,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,12,12,2,2,2,2,2,+
